State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
AL,1948,1,19778,0,1.0,1,D
AL,1948,2,21271,0,1.0,1,D
AL,1948,3,16279,0,1.0,1,D
AL,1948,4,17282,3054,0.8498229740000001,1,D
AL,1948,5,20548,0,1.0,1,D
AL,1948,6,13968,2994,0.823487796,1,D
AL,1948,7,21552,0,1.0,1,D
AL,1948,8,19060,2510,0.883634678,1,D
AL,1948,9,33781,5006,0.8709361379999999,1,D
AZ,1948,1,42565,29864,0.587678968,1,D
AZ,1948,2,54066,30140,0.642068261,1,D
AR,1948,1,34676,0,1.0,1,D
AR,1948,2,29922,0,1.0,1,D
AR,1948,3,27278,0,1.0,1,D
AR,1948,4,29338,0,1.0,1,D
AR,1948,5,36440,0,1.0,1,D
AR,1948,6,40291,0,1.0,1,D
AR,1948,7,32982,0,1.0,1,D
CA,1948,1,72584,85122,0.46024881700000003,-1,R
CA,1948,2,78555,0,1.0,1,D
CA,1948,3,0,166571,0.0,-1,R
CA,1948,4,73704,68875,0.516934471,1,D
CA,1948,5,0,116347,0.0,-1,R
CA,1948,6,194985,0,1.0,1,D
CA,1948,7,74318,78534,0.486208882,-1,R
CA,1948,8,0,161743,0.0,-1,R
CA,1948,9,72826,66563,0.513,1,D
CA,1948,10,0,67448,0.0,-1,R
CA,1948,11,0,87143,0.0,-1,R
CA,1948,12,0,141509,0.0,-1,R
CA,1948,13,56624,62951,0.47354380100000004,-1,R
CA,1948,14,89581,44611,0.667558424,1,D
CA,1948,15,0,131933,0.0,-1,R
CA,1948,16,91268,121198,0.429565201,-1,R
CA,1948,17,194782,0,1.0,1,D
CA,1948,18,105687,92721,0.532675094,1,D
CA,1948,19,72900,28698,0.71753381,1,D
CA,1948,20,0,204710,0.0,-1,R
CA,1948,21,61383,47411,0.5642130999999999,1,D
CA,1948,22,0,115697,0.0,-1,R
CA,1948,23,112534,87138,0.563594295,1,D
CO,1948,1,106096,57541,0.648361923,1,D
CO,1948,2,66579,71868,0.48089882799999994,-1,R
CO,1948,3,65114,63312,0.5070157129999999,1,D
CO,1948,4,34695,32206,0.518602114,1,D
CT,1948,1,127802,103294,0.5530255820000001,1,D
CT,1948,2,69339,64916,0.516472385,1,D
CT,1948,3,84449,83310,0.503394751,1,D
CT,1948,4,92618,117727,0.440314721,-1,R
CT,1948,5,58300,62804,0.481404413,-1,R
CT,1948,98,429348,433311,0.49770303200000005,-1,R
DE,1948,98,68909,71127,0.492080608,-1,R
FL,1948,1,66348,0,1.0,1,D
FL,1948,2,55715,5413,0.9114481090000001,1,D
FL,1948,3,30730,0,1.0,1,D
FL,1948,4,63665,14912,0.8102243659999999,1,D
FL,1948,5,46939,19501,0.706487056,1,D
FL,1948,6,31933,15977,0.666520559,1,D
GA,1948,1,42677,0,1.0,1,D
GA,1948,2,26815,0,1.0,1,D
GA,1948,3,32098,0,1.0,1,D
GA,1948,4,33522,0,1.0,1,D
GA,1948,5,54637,0,1.0,1,D
GA,1948,6,29446,0,1.0,1,D
GA,1948,7,45195,0,1.0,1,D
GA,1948,8,35608,0,1.0,1,D
GA,1948,9,29699,0,1.0,1,D
GA,1948,10,35479,0,1.0,1,D
ID,1948,1,46846,41404,0.530832861,1,D
ID,1948,2,59006,61690,0.48888115600000004,-1,R
IL,1948,1,98690,43034,0.696353476,1,D
IL,1948,2,91648,85119,0.518467814,1,D
IL,1948,3,91204,81175,0.52908997,1,D
IL,1948,4,89557,82310,0.521083163,1,D
IL,1948,5,114660,43610,0.724458204,1,D
IL,1948,6,127918,53548,0.7049144190000001,1,D
IL,1948,7,133199,47602,0.736716058,1,D
IL,1948,8,101098,54316,0.650507676,1,D
IL,1948,9,91271,73301,0.554596165,1,D
IL,1948,10,78533,109031,0.41869975,-1,R
IL,1948,11,80750,78269,0.507800955,1,D
IL,1948,12,88795,98956,0.47294022399999996,-1,R
IL,1948,13,58340,123978,0.319990347,-1,R
IL,1948,14,44050,94962,0.316879118,-1,R
IL,1948,15,57296,74213,0.435681208,-1,R
IL,1948,16,54481,76840,0.414868909,-1,R
IL,1948,17,42226,71220,0.37221233,-1,R
IL,1948,18,56688,61652,0.479026534,-1,R
IL,1948,19,59397,69733,0.459978316,-1,R
IL,1948,20,52235,59067,0.46930872799999995,-1,R
IL,1948,21,69619,61452,0.53115487,1,D
IL,1948,22,56893,64625,0.46818578299999997,-1,R
IL,1948,23,53885,57800,0.48247302700000005,-1,R
IL,1948,24,56262,57732,0.493552292,-1,R
IL,1948,25,101927,44728,0.6950121029999999,1,D
IL,1948,26,51028,54993,0.481300874,-1,R
IN,1948,1,78898,50194,0.611176525,1,D
IN,1948,2,57245,71907,0.443237426,-1,R
IN,1948,3,86382,78935,0.522523394,1,D
IN,1948,4,66689,63403,0.512629524,1,D
IN,1948,5,91861,82730,0.526149687,1,D
IN,1948,6,65931,66414,0.49817522399999997,-1,R
IN,1948,7,74396,62855,0.54204341,1,D
IN,1948,8,89990,71634,0.556786121,1,D
IN,1948,9,55333,59787,0.480654969,-1,R
IN,1948,10,67081,76036,0.46871440799999997,-1,R
IN,1948,11,103046,98451,0.511402155,1,D
IA,1948,1,60860,70959,0.461693686,-1,R
IA,1948,2,70272,82139,0.461069083,-1,R
IA,1948,3,56002,78838,0.41532186299999996,-1,R
IA,1948,4,49894,53384,0.483103856,-1,R
IA,1948,5,57370,60103,0.48836754,-1,R
IA,1948,6,43997,55641,0.441568478,-1,R
IA,1948,7,44857,59173,0.431192925,-1,R
IA,1948,8,45796,56970,0.44563377,-1,R
KS,1948,1,44711,68395,0.395301752,-1,R
KS,1948,2,63431,68324,0.481431445,-1,R
KS,1948,3,38391,46935,0.449933197,-1,R
KS,1948,4,70778,88605,0.44407496399999996,-1,R
KS,1948,5,41614,77160,0.350362874,-1,R
KS,1948,6,40553,55013,0.42434547899999997,-1,R
KY,1948,1,50720,0,1.0,1,D
KY,1948,2,54586,31527,0.633888031,1,D
KY,1948,3,64877,74168,0.46658995299999995,-1,R
KY,1948,4,45538,31062,0.594490862,1,D
KY,1948,5,47518,24240,0.662197943,1,D
KY,1948,6,60659,39251,0.6071364229999999,1,D
KY,1948,7,39788,26007,0.6047268029999999,1,D
KY,1948,8,52328,34127,0.605262854,1,D
KY,1948,9,0,60309,0.0,-1,R
LA,1948,1,36748,0,1.0,1,D
LA,1948,2,61316,0,1.0,1,D
LA,1948,3,26587,13437,0.664276434,1,D
LA,1948,4,32045,0,1.0,1,D
LA,1948,5,34362,0,1.0,1,D
LA,1948,6,47515,0,1.0,1,D
LA,1948,7,36053,0,1.0,1,D
LA,1948,8,33613,0,1.0,1,D
ME,1948,1,31528,52536,0.37504758299999996,-1,R
ME,1948,2,24698,50552,0.328212625,-1,R
ME,1948,3,15888,38692,0.29109563899999996,-1,R
MD,1948,1,27024,29700,0.47641210100000003,-1,R
MD,1948,2,99157,76235,0.5653450560000001,1,D
MD,1948,3,32138,13131,0.70993395,1,D
MD,1948,4,38486,21084,0.646063455,1,D
MD,1948,5,45902,30997,0.596912834,1,D
MD,1948,6,48304,59856,0.446597633,-1,R
MA,1948,1,56604,75582,0.42821478799999996,-1,R
MA,1948,2,81775,67267,0.548670844,1,D
MA,1948,3,104601,36855,0.73945962,1,D
MA,1948,4,89064,61448,0.591740193,1,D
MA,1948,5,0,139288,0.0,-1,R
MA,1948,6,0,108179,0.0,-1,R
MA,1948,7,100333,26339,0.792069281,1,D
MA,1948,8,72767,75844,0.489647469,-1,R
MA,1948,9,63275,82750,0.43331621299999995,-1,R
MA,1948,10,52022,118741,0.304644449,-1,R
MA,1948,11,106366,0,1.0,1,D
MA,1948,12,125015,0,1.0,1,D
MA,1948,13,69050,89913,0.434377811,-1,R
MA,1948,14,55369,87973,0.386271993,-1,R
MI,1948,1,101954,19609,0.838692694,1,D
MI,1948,2,50148,65006,0.43548639200000006,-1,R
MI,1948,3,42146,64637,0.39468829299999997,-1,R
MI,1948,4,31429,61059,0.33981705700000003,-1,R
MI,1948,5,46972,74191,0.387676106,-1,R
MI,1948,6,72681,73465,0.49731775100000003,-1,R
MI,1948,7,47040,68903,0.40571660200000004,-1,R
MI,1948,8,37125,61394,0.376830865,-1,R
MI,1948,9,35805,51771,0.408844889,-1,R
MI,1948,10,27742,49206,0.36052918899999997,-1,R
MI,1948,11,27265,48633,0.359232127,-1,R
MI,1948,12,32485,42955,0.430607105,-1,R
MI,1948,13,76947,45761,0.627074029,1,D
MI,1948,14,99227,74474,0.571251749,1,D
MI,1948,15,92579,49286,0.652585204,1,D
MI,1948,16,97826,57730,0.6288796320000001,1,D
MI,1948,17,103390,116427,0.470345788,-1,R
MN,1948,1,50533,80345,0.386107673,-1,R
MN,1948,2,46894,82886,0.361334566,-1,R
MN,1948,3,87171,72402,0.546276626,1,D
MN,1948,4,78476,53574,0.594290042,1,D
MN,1948,5,65113,76313,0.46040332,-1,R
MN,1948,6,66601,62194,0.517108583,1,D
MN,1948,7,57863,63879,0.475292011,-1,R
MN,1948,8,88501,44306,0.6663880670000001,1,D
MN,1948,9,47476,57189,0.45359958,-1,R
MS,1948,1,16800,0,1.0,1,D
MS,1948,2,13771,0,1.0,1,D
MS,1948,3,17369,0,1.0,1,D
MS,1948,4,15290,0,1.0,1,D
MS,1948,5,22641,0,1.0,1,D
MS,1948,6,29751,0,1.0,1,D
MS,1948,7,36663,0,1.0,1,D
MO,1948,1,56226,41365,0.5761391929999999,1,D
MO,1948,2,66062,50372,0.567377227,1,D
MO,1948,3,69599,52290,0.571003126,1,D
MO,1948,4,74752,41576,0.642596795,1,D
MO,1948,5,59961,47371,0.5586497970000001,1,D
MO,1948,6,63390,59959,0.5139076929999999,1,D
MO,1948,7,52255,61242,0.460408645,-1,R
MO,1948,8,60081,44887,0.572374438,1,D
MO,1948,9,56669,35232,0.61663094,1,D
MO,1948,10,67564,26760,0.7162970190000001,1,D
